2025-12-24 09:50:02.707 | INFO     | ask_ask_stream:call_ask_ask_stream:396 | [ef2500fd-55a7-40ba-9dd0-bfa964d6f0bd] call_ask_ask_stream started | session_id=ef2500fd-55a7-40ba-9dd0-bfa964d6f0bd, age=6, status=normal, content_length=165, message_history=1
2025-12-24 09:50:02.708 | INFO     | ask_ask_stream:call_ask_ask_stream:409 | [ef2500fd-55a7-40ba-9dd0-bfa964d6f0bd] Stuck detection | is_stuck=False
2025-12-24 09:50:02.708 | INFO     | ask_ask_stream:call_ask_ask_stream:430 | [ef2500fd-55a7-40ba-9dd0-bfa964d6f0bd] Routing to answer_question
2025-12-24 09:50:02.708 | INFO     | ask_ask_stream:answer_question_stream:145 | answer_question_stream started | question_length=165, message_count=2
2025-12-24 09:50:02.709 | DEBUG    | ask_ask_stream:answer_question_stream:155 | Messages prepared for API | count=3
2025-12-24 09:50:02.709 | DEBUG    | ask_ask_stream:answer_question_stream:166 | Sending 2 messages to Gemini API
2025-12-24 09:50:02.710 | DEBUG    | ask_ask_stream:answer_question_stream:183 | Stream object type: generator
2025-12-24 09:50:19.704 | DEBUG    | ask_ask_stream:answer_question_stream:191 | Chunk 1 | length=2, total_length=2
2025-12-24 09:50:19.705 | DEBUG    | ask_ask_stream:answer_question_stream:191 | Chunk 2 | length=9, total_length=11
2025-12-24 09:50:19.801 | DEBUG    | ask_ask_stream:answer_question_stream:191 | Chunk 3 | length=61, total_length=72
2025-12-24 09:50:19.871 | DEBUG    | ask_ask_stream:answer_question_stream:191 | Chunk 4 | length=58, total_length=130
2025-12-24 09:50:19.952 | DEBUG    | ask_ask_stream:answer_question_stream:191 | Chunk 5 | length=85, total_length=215
2025-12-24 09:50:19.955 | DEBUG    | ask_ask_stream:answer_question_stream:196 | Gemini streaming API does not provide token usage in stream mode
2025-12-24 09:50:19.955 | DEBUG    | ask_ask_stream:answer_question_stream:210 | Cleaned up stream via del in finally block
2025-12-24 09:50:19.956 | INFO     | ask_ask_stream:answer_question_stream:215 | answer_question_stream completed | duration=17.247s, response_length=215
2025-12-24 09:50:19.956 | WARNING  | ask_ask_stream:answer_question_stream:221 | Slow LLM call | duration=17.247s exceeded threshold 5.0s
2025-12-24 09:50:19.956 | INFO     | ask_ask_stream:call_ask_ask_stream:465 | [ef2500fd-55a7-40ba-9dd0-bfa964d6f0bd] call_ask_ask_stream completed | response_type=answer_question, duration=17.249s, total_chunks=5, response_length=215, session_finished=False
2025-12-24 09:50:19.956 | DEBUG    | ask_ask_stream:call_ask_ask_stream:472 | Full response (first 200 chars): Hi there! 👋 I'm so excited to learn with you today! You can ask me about ANYTHING – like why the sky is blue ☁️, how plants grow 🌱, or even what dinosaurs ate 🦖! What amazing thing do you want to know...
2025-12-24 09:50:48.581 | INFO     | ask_ask_stream:call_ask_ask_stream:396 | [ef2500fd-55a7-40ba-9dd0-bfa964d6f0bd] call_ask_ask_stream started | session_id=ef2500fd-55a7-40ba-9dd0-bfa964d6f0bd, age=6, status=normal, content_length=5, message_history=2
2025-12-24 09:50:48.582 | INFO     | ask_ask_stream:call_ask_ask_stream:409 | [ef2500fd-55a7-40ba-9dd0-bfa964d6f0bd] Stuck detection | is_stuck=False
2025-12-24 09:50:48.582 | INFO     | ask_ask_stream:call_ask_ask_stream:430 | [ef2500fd-55a7-40ba-9dd0-bfa964d6f0bd] Routing to answer_question
2025-12-24 09:50:48.582 | INFO     | ask_ask_stream:answer_question_stream:145 | answer_question_stream started | question_length=5, message_count=3
